ds,yhat,yhat_lower,yhat_upper
2003-03-19,4.69706618021545,-0.1430091155763556,9.446380205999157
2003-03-20,4.822881839299088,-0.08945465099037653,10.477049050226345
2003-03-21,4.798139991833339,-0.43688720355239513,9.866870181581401
2003-03-22,4.831080835553171,-0.29472766815746354,9.73611707652423
2003-03-23,4.939469993747345,-0.31911731881717165,9.810391393066185
2003-03-24,5.103591259970609,0.2804703892853221,10.048425991298569
2003-03-25,5.425048319128097,-0.011740484244727217,10.201063283557671
2003-03-26,5.653068404578845,0.3718586513028983,10.920510525812134
2003-03-27,5.7864355658214235,0.5488860599970635,10.773625208314268
2003-03-28,5.7786579325175405,0.29543038270381355,10.96541976157692
2003-03-29,5.83786487310228,0.4935052491621214,11.20969333858694
2003-03-30,5.98142428445901,0.7017435801438746,11.13617378146095
2003-03-31,6.1889440760137715,1.3240533735473978,11.607765421561194
2003-04-01,6.561090836129378,1.3597184212980444,11.452583640966274
2003-04-02,6.84591817502771,1.7615970811634596,12.292005911143127
2003-04-03,7.040831726717442,1.6207705132138668,12.269014190505658
2003-04-04,7.097794297050609,2.106175110292731,12.264687978163487
2003-04-05,7.223265977093654,2.266781158249501,12.063276053293487
2003-04-06,7.43286823013913,2.1071699984297485,12.435668313787197
2003-04-07,7.7044346741460386,2.7085684098658405,12.907340836786705
2003-04-08,8.136880131459385,3.2242642289124843,12.717162372063425
2003-04-09,8.476578990632007,3.549457697757216,13.667847442800014
2003-04-10,8.719378422077526,3.886934502906883,13.864187716235772
2003-04-11,8.815848544334877,3.3394697527185717,13.895174019314418
2003-04-12,8.971263060496826,3.974290896704593,13.896383664589747
2003-04-13,9.200298201746413,4.017740249766579,14.529207184822857
2003-04-14,9.480111690581829,4.547895286434605,14.795221333118608
2003-04-15,9.909232477637783,5.520868679739212,15.181533747717632
2003-04-16,10.233951693833827,5.292297776035381,15.401721317712814
2003-04-17,10.450339988652901,5.41082452392735,15.29518757521151
2003-04-18,10.50949322316452,5.241385846727771,15.168035678064284
2003-04-19,10.617500155474355,5.3327150805134185,15.562633854191102
2003-04-20,10.790120316415132,5.5537595124943495,15.948681665288387
2003-04-21,11.00583438106338,6.221979351566363,16.165431434807665
2003-04-22,11.364698597846798,6.058182903297489,16.402461677067095
2003-04-23,11.614694716211973,7.00218869700299,16.932262622898513
2003-04-24,11.753701745310739,6.593900484361377,16.56275773802321
2003-04-25,11.734692802782291,6.820609357646715,16.863556833453973
2003-04-26,11.765652073299817,6.911030546954412,16.829593520539408
2003-04-27,11.864201508371384,6.923095215154375,17.14584122852212
2003-04-28,12.010601017043006,6.898532774701724,17.00725529061627
2003-04-29,12.3065551222676,7.236281395123689,17.090023594498152
2003-04-30,12.501518865289212,7.382665148989752,17.322119088405497
2003-05-01,12.594630521939484,7.762586172755557,18.010092761363236
2003-05-02,12.539875476288987,7.585957737723353,17.347749663178497
2003-05-03,12.54597718180877,7.478311977920684,17.486954956844407
2003-05-04,12.631005550416653,7.486760568347927,17.786769180496293
2003-05-05,12.77536700657959,7.347471035543543,17.653311622423978
2003-05-06,13.080609433985277,7.628519109899187,18.062576839474087
2003-05-07,13.295734808592032,8.136775507492592,18.344463388668398
2003-05-08,13.419146852508566,8.43571469393014,18.13757479447819
2003-05-09,13.403837591237888,7.853743683785198,18.121001027131676
2003-05-10,13.457308062071114,8.181546450050345,18.647495460603537
2003-05-11,13.596212632661125,8.699309720842852,18.79397541671557
2003-05-12,13.79939011261833,8.890469168595226,18.870234912634817
2003-05-13,14.166713689356516,9.192516080115409,19.30243741566771
2003-05-14,14.445451178703461,9.494826795235308,19.74899298279731
2003-05-15,14.63226155238804,9.588427034996808,19.347216242159135
2003-05-16,14.678430223355939,9.923145316600731,19.8049620993937
2003-05-17,14.789836946389544,9.774827911032622,19.88632982668696
2003-05-18,14.981644454059628,9.989783427341466,20.096318309850613
2003-05-19,15.231369761563418,9.813080814154814,20.117570029523044
2003-05-20,15.637769047750337,10.184990433646867,20.690355759625664
2003-05-21,15.947226636200604,10.75411569754278,20.553445188894145
2003-05-22,16.155773256275076,11.138516506221126,21.23220104503783
2003-05-23,16.214335489140424,10.85285809786853,20.79859879988898
2003-05-24,16.328709902208388,11.411078018821232,21.48071606919978
2003-05-25,16.514249869103477,11.115894590536742,21.88893860233045
2003-05-26,16.748927119359333,11.669748939581792,21.847962255377183
2003-05-27,17.13219926503453,11.943263038248237,21.901063925937954
2003-05-28,17.411374386250706,12.21713378694951,22.483460445488017
2003-05-29,17.583598614718845,12.215988987433317,23.142702727457618
2003-05-30,17.601069557380416,12.606342648292133,23.01836285201106
2003-05-31,17.67097015060837,12.514919397794113,22.61738082790667
2003-06-01,17.810112146644492,13.116051618145054,22.893001794693358
2003-06-02,17.997952562994165,13.026958990668868,22.98842531199091
2003-06-03,18.335415672626095,13.168786950602938,23.128000506293848
2003-06-04,18.57121295282644,13.725328156188683,23.499651772427942
2003-06-05,18.703788233920342,13.491853665559258,23.675249027612285
2003-06-06,18.686492120660702,13.387489053008663,23.824291567839055
2003-06-07,18.727481400457506,13.81119095772825,23.98438603914028
2003-06-08,18.844333624690133,13.88301515965518,24.16798038522357
2003-06-09,19.017041011220975,13.541110403250862,23.681359374739312
2003-06-10,19.346816873196193,14.045475496827214,24.53205726831641
2003-06-11,19.58240741171678,14.162054652827642,24.928659592648824
2003-06-12,19.722036314641947,14.567705616538545,24.719559165927947
2003-06-13,19.71858621187444,14.350410902575533,24.806071989529638
2003-06-14,19.779512457195843,14.767266565254527,24.766461431224187
2003-06-15,19.921478965343958,14.871552917031147,25.17184398832012
2003-06-16,20.123379595901646,15.546257301253275,25.36398945732374
2003-06-17,20.4851774537484,15.525791185769078,25.755983717194237
2003-06-18,20.754253954832393,15.998746589647267,25.770105602323756
2003-06-19,20.92739398690553,15.78985493129709,26.125209165495818
2003-06-20,20.956075138997726,16.27651132469102,26.16711726567722
2003-06-21,21.046229577975375,15.888186441752298,26.06025669719253
2003-06-22,21.213118291618855,16.194195982956863,26.81322285127564
2003-06-23,21.434328666173442,16.39808858746625,26.560438671676014
2003-06-24,21.808652201051494,16.95614475236538,26.823560239000933
2003-06-25,22.08246797318727,16.60453596720366,26.952174096398494
2003-06-26,22.251757194098513,17.424591440553662,27.950160160564014
2003-06-27,22.267350871324773,17.27421465890992,27.333494604899016
2003-06-28,22.334904125472832,17.573122007144196,27.63208335399378
2003-06-29,22.469585148012886,17.252588434060417,28.056746116114144
2003-06-30,22.64914077322738,17.87627419087573,27.778890115572366
2003-07-01,22.97276978442534,17.65699643881253,27.882509457054297
2003-07-02,23.187494857196704,18.44131956374966,28.476558460767485
2003-07-03,23.290158853035166,18.21847403166208,28.400240546915843
2003-07-04,23.2326480399732,17.948799658680297,28.405115324456425
2003-07-05,23.221836533477777,18.21779819280344,28.39951240894748
2003-07-06,23.274240839071837,18.235955176130503,28.554607704932476
2003-07-07,23.369047493530402,18.170967780104792,28.523554514596032
2003-07-08,23.60694604462364,18.44267915234956,28.940262816326534
2003-07-09,23.73645945504795,18.7451613445722,29.127462105904996
2003-07-10,23.755898854673987,18.715461324812722,28.803250445778385
2003-07-11,23.618546420844396,18.61383277852542,28.63674492081232
2003-07-12,23.532561840087247,18.46067154434638,28.699992083133623
