ds,yhat,yhat_lower,yhat_upper
2004-10-04,11.276744746969666,6.567112637435217,16.95855043137441
2004-10-05,11.253712122116022,6.090950328741683,16.579526586184958
2004-10-06,11.155740287909039,6.0115100696501385,16.45634382527453
2004-10-07,10.943717355645497,6.053168035511022,16.096218394756683
2004-10-08,10.572649970021434,5.456999040970903,16.151750153503006
2004-10-09,10.238595623995641,4.774994841869805,15.2852616487594
2004-10-10,9.982210560305843,4.147349588829549,14.505596896881263
2004-10-11,9.76872293448054,4.886625597770292,15.111602627201565
2004-10-12,9.742166138666905,4.5178998508124915,14.786988241670413
2004-10-13,9.639773918002291,4.459197933752266,14.781553409951307
2004-10-14,9.422580255191559,4.4395684537565945,14.710825121845518
2004-10-15,9.04582855617236,4.29973286710259,14.317676033651397
2004-10-16,8.705896494907135,3.571602856141849,13.722330825816677
2004-10-17,8.443832972010393,3.474970517986481,13.469463889224752
2004-10-18,8.225317182033512,2.9475619841093352,13.03769711090799
2004-10-19,8.194875122217015,2.8060370227222564,13.69800090807535
2004-10-20,8.090255708842664,2.8905786926144317,13.125455253783244
2004-10-21,7.873010096051696,2.9420446541039436,13.567161733878095
2004-10-22,7.498879414971102,2.022206794419369,12.78275622490512
2004-10-23,7.164698020537955,2.3033280296224947,12.393790375974506
2004-10-24,6.911909451379595,1.815849493106636,11.994210616731912
2004-10-25,6.706505845276868,1.22367336908462,11.778521460354362
2004-10-26,6.693226863577628,1.4584710562920777,11.586945164745327
2004-10-27,6.609920960015451,1.4615056671564322,11.635802598184481
2004-10-28,6.418113184376871,1.1062168516227378,11.803637501630867
2004-10-29,6.073385239974249,1.4002954901301203,11.785948523592161
2004-10-30,5.7722752709774685,0.8632528819446864,11.088948361048372
2004-10-31,5.5557948464027564,0.7965154280462923,10.869359285075003
2004-11-01,5.389374006502993,0.14871840270017989,10.808424879145742
2004-11-02,5.417070403049323,0.28038943572813047,10.416412429239347
2004-11-03,5.375945199567076,0.013635050919031997,10.115470254160037
2004-11-04,5.226649607120837,0.30706238601108055,10.676249182936678
